Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
E1,false,2580,GAPDH,Unknown,SYBR,18.36957153519308,0.9840784650436443,2.8448169932181124,Amp,false,98309.513954869,3,9,84.91353607177734,,,,,
E2,false,2580,GAPDH,Unknown,SYBR,18.586274152512964,0.9824004874050454,2.831575749057814,Amp,false,98309.513954869,3,10,85.0262680053711,,,,,
E3,false,2580,GAPDH,Unknown,SYBR,18.64054567979578,0.9884484312237518,2.8187991760451587,Amp,false,98309.513954869,3,10,85.0262680053711,,,,,
E5,false,2580,RPL,Unknown,SYBR,15.757906085491463,0.9912102435968254,2.8258635434447323,Amp,false,77860.66286623265,3,7,82.88780212402344,,,,,
E6,false,2580,RPL,Unknown,SYBR,15.69210079160938,0.9924303066033359,2.8232322364795026,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
E7,false,2580,RPL,Unknown,SYBR,15.728180274261877,0.9917476913811323,2.821079107117849,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
E9,false,2580,ACT,Unknown,SYBR,16.605269992169944,0.9887337608769404,2.80949893889602,Amp,false,60647.08996969879,3,9,88.74800109863281,,,,,
E10,false,2580,ACT,Unknown,SYBR,16.81226595829412,0.989487324719852,2.7967226574530075,Amp,false,60647.08996969879,3,8,88.86073303222656,,,,,
E11,false,2580,ACT,Unknown,SYBR,16.717716280300017,0.9864326797476604,2.8025812683618043,Amp,false,60647.08996969879,3,8,88.86073303222656,,,,,
E13,false,2580,71,Unknown,SYBR,24.720885194151194,0.9883238057811815,2.806950958127528,Amp,false,68722.3657709478,3,14,88.29487609863281,64.28419494628906,63.15693283081055,,,
E14,false,2580,71,Unknown,SYBR,24.691068702130146,0.9891058769454583,2.8144442003572507,Amp,false,68722.3657709478,3,13,88.29487609863281,,,,,
E15,false,2580,71,Unknown,SYBR,24.69497587876458,0.9905596675928183,2.8206312523124297,Amp,false,68722.3657709478,3,14,88.1821517944336,64.62237548828125,61.80421829223633,,,
E17,false,2580,75,Unknown,SYBR,20.953021721835498,0.9885634065080692,2.811093301687339,Amp,false,82906.6692880069,3,11,88.1797866821289,,,,,
E18,false,2580,75,Unknown,SYBR,20.984671850484688,0.9916929081149253,2.817345576430792,Amp,false,82906.6692880069,3,13,88.06707000732422,,,,,
E19,false,2580,75,Unknown,SYBR,20.892311279018415,0.9904183057640507,2.8150261488833372,Amp,false,82906.6692880069,3,13,88.06707000732422,,,,,
E21,false,2580,BLIMP,Unknown,SYBR,23.275228069732336,0.9903146820405941,2.802451034646788,Amp,false,55077.221041119046,3,13,89.87627410888672,,,,,
E22,false,2580,BLIMP,Unknown,SYBR,23.289595091328934,0.9890680055078642,2.8006080573965804,Amp,false,55077.221041119046,3,13,89.989013671875,,,,,
E23,false,2580,BLIMP,Unknown,SYBR,23.357537373567496,0.9898259783750829,2.7987204152640692,Amp,false,55077.221041119046,3,14,89.989013671875,,,,,
F1,false,NO DNA,GAPDH,Unknown,SYBR,Undetermined,0,,No Amp,false,98309.513954869,3,39,80.62982940673828,85.58991241455078,91.22637176513672,88.85905456542969,,
F2,false,NO DNA,GAPDH,Unknown,SYBR,Undetermined,0,,No Amp,false,98309.513954869,3,39,92.46638488769531,89.19725036621094,84.80081176757812,82.20803833007812,,
F3,false,NO DNA,GAPDH,Unknown,SYBR,Undetermined,0,,No Amp,false,98309.513954869,3,39,73.41516876220703,81.8698501586914,78.03706359863281,66.65142059326172,,
F5,false,NO DNA,RPL,Unknown,SYBR,Undetermined,0,,No Amp,false,77860.66286623265,3,39,83.22602844238281,89.53965759277344,75.55948638916016,80.52018737792969,,
F6,false,NO DNA,RPL,Unknown,SYBR,Undetermined,0,,No Amp,false,77860.66286623265,3,39,89.08868408203125,71.95169830322266,85.14266967773438,82.66231536865234,,
F7,false,NO DNA,RPL,Unknown,SYBR,Undetermined,0,1.3367610864130026,No Amp,false,77860.66286623265,3,39,89.42691802978516,82.88780212402344,86.04461669921875,92.92196655273438,,
F9,false,NO DNA,ACT,Unknown,SYBR,Undetermined,0,,No Amp,false,60647.08996969879,3,39,79.72917175292969,90.3262939453125,77.13626098632812,87.95884704589844,,
F10,false,NO DNA,ACT,Unknown,SYBR,Undetermined,0,,No Amp,false,60647.08996969879,3,39,78.26361846923828,89.98808288574219,85.70414733886719,83.67491149902344,,
F11,false,NO DNA,ACT,Unknown,SYBR,Undetermined,0,,No Amp,false,60647.08996969879,3,39,83.90037536621094,90.66449737548828,87.05696868896484,92.91920471191406,,
F13,false,NO DNA,71,Unknown,SYBR,Undetermined,0,1.9862780019626165,No Amp,false,68722.3657709478,3,33,79.61495971679688,,,,,
F14,false,NO DNA,71,Unknown,SYBR,38,0.9568107652537327,2.5033083042800173,Inconclusive,false,68722.3657709478,3,29,81.08039855957031,,,,,
F15,false,NO DNA,71,Unknown,SYBR,Undetermined,0,2.3086120918676105,Inconclusive,false,68722.3657709478,3,29,81.75675964355469,,,,,
F17,false,NO DNA,75,Unknown,SYBR,Undetermined,0,,No Amp,false,82906.6692880069,3,39,86.82717895507812,79.27513122558594,74.76644897460938,88.96881103515625,,
F18,false,NO DNA,75,Unknown,SYBR,Undetermined,0,2.219449492411256,No Amp,false,82906.6692880069,3,31,87.05261993408203,80.62773895263672,,,,
F19,false,NO DNA,75,Unknown,SYBR,Undetermined,0,,No Amp,false,82906.6692880069,3,39,92.23760986328125,83.10751342773438,80.62773895263672,78.59883117675781,,
F21,false,NO DNA,BLIMP,Unknown,SYBR,25.595540986152436,0.9904140687663556,2.695387336043248,Amp,false,55077.221041119046,3,14,79.16605377197266,73.98005676269531,,,,
F22,false,NO DNA,BLIMP,Unknown,SYBR,25.501719584251376,0.9902178065305793,2.706839815886885,Amp,false,55077.221041119046,3,15,79.27879333496094,73.98005676269531,,,,
F23,false,NO DNA,BLIMP,Unknown,SYBR,25.634038076899692,0.9884975240014289,2.703874121485858,Amp,false,55077.221041119046,3,17,79.27879333496094,73.86731719970703,,,,
